2026-03-17 16:26:05 | INFO     | app.services.pdf_service:44 | PDFService initialised
2026-03-17 16:26:05 | INFO     | app.services.extraction_service:44 | ExtractionService initialised
2026-03-17 16:26:56 | INFO     | app.services.embedding_service:37 | EmbeddingService initialised — model=sentence-transformers/all-MiniLM-L6-v2
2026-03-17 16:26:56 | INFO     | app.services.rag_service:52 | RAGService initialised
2026-03-17 16:26:56 | INFO     | app.services.ai_router:74 | AIRouter initialised — primary=mistralai/mistral-7b-instruct, fallback=mistralai/Mistral-7B-Instruct-v0.1
2026-03-17 16:26:56 | INFO     | app.services.analysis_service:45 | AnalysisService initialised
2026-03-17 16:26:57 | INFO     | startup:153 | ============================================================
2026-03-17 16:26:57 | INFO     | startup:154 |   PDF Research Analyzer v1.0.0 starting up
2026-03-17 16:26:57 | INFO     | startup:155 | ============================================================
2026-03-17 16:26:57 | INFO     | startup:158 |   app_title                      PDF Research Analyzer
2026-03-17 16:26:57 | INFO     | startup:158 |   version                        1.0.0
2026-03-17 16:26:57 | INFO     | startup:158 |   debug                          False
2026-03-17 16:26:57 | INFO     | startup:158 |   log_level                      INFO
2026-03-17 16:26:57 | INFO     | startup:158 |   openrouter_model               mistralai/mistral-7b-instruct
2026-03-17 16:26:57 | INFO     | startup:158 |   openrouter_configured          True
2026-03-17 16:26:57 | INFO     | startup:158 |   huggingface_model              mistralai/Mistral-7B-Instruct-v0.1
2026-03-17 16:26:57 | INFO     | startup:158 |   huggingface_configured         True
2026-03-17 16:26:57 | INFO     | startup:158 |   embedding_model                sentence-transformers/all-MiniLM-L6-v2
2026-03-17 16:26:57 | INFO     | startup:158 |   embedding_dimension            384
2026-03-17 16:26:57 | INFO     | startup:158 |   chunk_size                     500
2026-03-17 16:26:57 | INFO     | startup:158 |   chunk_overlap                  50
2026-03-17 16:26:57 | INFO     | startup:158 |   top_k_results                  5
2026-03-17 16:26:57 | INFO     | startup:158 |   max_file_size_mb               50
2026-03-17 16:26:57 | INFO     | startup:158 |   upload_dir                     C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\uploads
2026-03-17 16:26:57 | INFO     | startup:158 |   processed_dir                  C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\processed
2026-03-17 16:26:57 | INFO     | startup:158 |   vectorstore_dir                C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\vectorstore
2026-03-17 16:26:57 | INFO     | startup:160 | ------------------------------------------------------------
2026-03-17 16:26:57 | INFO     | startup:166 |   ✓  Config validation passed — no warnings
2026-03-17 16:26:57 | INFO     | startup:168 |   ✓  Log file: C:\Users\ADMIN\PycharmProjects\pdf_analyzer\logs\app_2026-03-17.log
2026-03-17 16:26:57 | INFO     | startup:169 | ============================================================
2026-03-17 16:29:49 | INFO     | app.services.pdf_service:44 | PDFService initialised
2026-03-17 16:29:49 | INFO     | app.services.extraction_service:44 | ExtractionService initialised
2026-03-17 16:29:58 | INFO     | app.services.embedding_service:37 | EmbeddingService initialised — model=sentence-transformers/all-MiniLM-L6-v2
2026-03-17 16:29:58 | INFO     | app.services.rag_service:52 | RAGService initialised
2026-03-17 16:29:58 | INFO     | app.services.ai_router:74 | AIRouter initialised — primary=mistralai/mistral-7b-instruct, fallback=mistralai/Mistral-7B-Instruct-v0.1
2026-03-17 16:29:58 | INFO     | app.services.analysis_service:45 | AnalysisService initialised
2026-03-17 16:29:58 | INFO     | startup:153 | ============================================================
2026-03-17 16:29:58 | INFO     | startup:154 |   PDF Research Analyzer v1.0.0 starting up
2026-03-17 16:29:58 | INFO     | startup:155 | ============================================================
2026-03-17 16:29:58 | INFO     | startup:158 |   app_title                      PDF Research Analyzer
2026-03-17 16:29:58 | INFO     | startup:158 |   version                        1.0.0
2026-03-17 16:29:58 | INFO     | startup:158 |   debug                          False
2026-03-17 16:29:58 | INFO     | startup:158 |   log_level                      INFO
2026-03-17 16:29:58 | INFO     | startup:158 |   openrouter_model               mistralai/mistral-7b-instruct
2026-03-17 16:29:58 | INFO     | startup:158 |   openrouter_configured          True
2026-03-17 16:29:58 | INFO     | startup:158 |   huggingface_model              mistralai/Mistral-7B-Instruct-v0.1
2026-03-17 16:29:58 | INFO     | startup:158 |   huggingface_configured         True
2026-03-17 16:29:58 | INFO     | startup:158 |   embedding_model                sentence-transformers/all-MiniLM-L6-v2
